symptoms,specialist
Dolor de cabeza,Neurólogo
Dolor de espalda,Traumatólogo / Fisioterapeuta
Dolor muscular o articular,Reumatólogo / Fisioterapeuta
Fracturas o lesiones,Ortopedista / Traumatólogo
Lesión deportiva,Médico del deporte / Fisioterapeuta
Dolor de estómago,Gastroenterólogo
Acidez o reflujo,Gastroenterólogo
Problemas de evacuación (diarrea/estreñimiento),Gastroenterólogo
Hemorroides,Proctólogo
Tos persistente o dificultad para respirar,Neumólogo
Alergias,Alergólogo
Infecciones respiratorias,Médico general / Neumólogo
Dolor en el pecho,Cardiólogo
Palpitaciones,Cardiólogo
Hinchazón de piernas o fatiga extrema,Cardiólogo
Ansiedad o estrés,Psicólogo / Psiquiatra
Depresión,Psicólogo / Psiquiatra
Problemas de sueño,Neurólogo / Psicólogo
Dolor de dientes o muelas,Odontólogo
Problemas en la mandíbula,Cirujano maxilofacial
Sangrado de encías,Periodoncista
Dolor al orinar,Urólogo / Ginecólogo
Infecciones urinarias frecuentes,Urólogo
Problemas menstruales,Ginecólogo
Problemas de fertilidad,Ginecólogo / Andrólogo
Acné o manchas,Dermatólogo
Alergias cutáneas,Dermatólogo / Alergólogo
Caída de cabello,Dermatólogo
Mareos o vértigo,Neurólogo
Adormecimiento o debilidad en extremidades,Neurólogo
Convulsiones,Neurólogo / Epileptólogo
Dolor en los ojos o problemas de visión,Oftalmólogo
Dolor de oídos o pérdida de audición,Otorrinolaringólogo
Cualquier problema de salud infantil,Pediatra
Problemas de desarrollo,Pediatra / Psicólogo infantil
Bultos o masas anormales,Oncólogo
Pérdida de peso inexplicable,Médico general / Oncólogo
Cansancio extremo persistente,Hematólogo / Oncólogo
Problemas de tiroides,Endocrinólogo
Diabetes,Endocrinólogo
Problemas hormonales,Endocrinólogo
Enfermedades autoinmunes,Reumatólogo / Inmunólogo
Infecciones recurrentes,Inmunólogo
Disfunción eréctil,Urólogo / Andrólogo
Problemas de libido,Endocrinólogo / Psicólogo
Anorexia,Nutriólogo / Psicólogo
Bulimia,Nutriólogo / Psicólogo
Apnea del sueño,Neumólogo / Especialista en sueño
Insomnio,Psicólogo / Neurólogo
Hipertensión,Cardiólogo
Colesterol alto,Cardiólogo / Nutriólogo
Hepatitis,Hepatólogo
Cirrosis,Hepatólogo
Insuficiencia renal,Nefrólogo
Cálculos renales,Urólogo
Fiebre alta,Médico general
Erupciones cutáneas,Dermatólogo
Problemas de visión,Oftalmólogo
Problemas auditivos,Otorrinolaringólogo
Problemas de memoria,Neurólogo
Problemas de concentración,Psicólogo
Problemas de aprendizaje,Psicólogo infantil
Problemas de comportamiento,Psicólogo
Problemas de lenguaje,Fonoaudiólogo
Problemas de equilibrio,Neurólogo
Problemas de coordinación,Neurólogo
Problemas de crecimiento,Endocrinólogo
Problemas de desarrollo motor,Fisioterapeuta
Problemas de alimentación,Nutriólogo
Problemas de digestión,Gastroenterólogo
Problemas de circulación,Cardiólogo
Problemas de respiración,Neumólogo
Problemas de sueño en niños,Pediatra
Problemas de sueño en adultos,Neurólogo / Psicólogo
Problemas de comportamiento en niños,Psicólogo infantil
Problemas de comportamiento en adolescentes,Psicólogo
Problemas de comportamiento en adultos,Psicólogo
Problemas de comportamiento en ancianos,Geriatra
Problemas de movilidad,Fisioterapeuta
Problemas de equilibrio en ancianos,Geriatra
Problemas de memoria en ancianos,Geriatra
Problemas de visión en ancianos,Oftalmólogo
Problemas auditivos en ancianos,Otorrinolaringólogo
Problemas de sueño en ancianos,Geriatra
Problemas de alimentación en ancianos,Nutriólogo
Problemas de digestión en ancianos,Gastroenterólogo
Problemas de circulación en ancianos,Cardiólogo
Problemas de respiración en ancianos,Neumólogo
Problemas de comportamiento en ancianos,Geriatra
Problemas de movilidad en ancianos,Fisioterapeuta
Problemas de equilibrio en ancianos,Geriatra
Problemas de memoria en ancianos,Geriatra
Problemas de visión en ancianos,Oftalmólogo
Problemas auditivos en ancianos,Otorrinolaringólogo
Problemas de sueño en ancianos,Geriatra
Problemas de alimentación en ancianos,Nutriólogo
Problemas de digestión en ancianos,Gastroenterólogo
Problemas de circulación en ancianos,Cardiólogo
Problemas de respiración en ancianos,Neumólogo
Problemas de comportamiento en ancianos,Geriatra
Problemas de movilidad en ancianos,Fisioterapeuta
Problemas de equilibrio en ancianos,Geriatra
Problemas de memoria en ancianos,Geriatra
Problemas de visión en ancianos,Oftalmólogo
Problemas auditivos en ancianos,Otorrinolaringólogo
Problemas de sueño en ancianos,Geriatra
Problemas de alimentación en ancianos,Nutriólogo
Problemas de digestión en ancianos,Gastroenterólogo
Problemas de circulación en ancianos,Cardiólogo
Problemas de respiración en ancianos,Neumólogo
Problemas de comportamiento en ancianos,Geriatra
Dolor de dientes,Odontólogo
Muela picada,Odontólogo
Dolor de cabeza,Neurólogo
Dolor de espalda,Traumatólogo / Fisioterapeuta
Dolor muscular o articular,Reumatólogo / Fisioterapeuta
Fracturas o lesiones,Ortopedista / Traumatólogo
Lesión deportiva,Médico del deporte / Fisioterapeuta
Dolor de estómago,Gastroenterólogo
Acidez o reflujo,Gastroenterólogo
Problemas de evacuación (diarrea/estreñimiento),Gastroenterólogo
Hemorroides,Proctólogo
Tos persistente o dificultad para respirar,Neumólogo
Alergias,Alergólogo
Infecciones respiratorias,Médico general / Neumólogo
Dolor en el pecho,Cardiólogo
Palpitaciones,Cardiólogo
Hinchazón de piernas o fatiga extrema,Cardiólogo
Ansiedad o estrés,Psicólogo / Psiquiatra
Depresión,Psicólogo / Psiquiatra
Problemas de sueño,Neurólogo / Psicólogo
Dolor de dientes o muelas,Odontólogo
Problemas en la mandíbula,Cirujano maxilofacial
Sangrado de encías,Periodoncista
Dolor al orinar,Urólogo / Ginecólogo
Infecciones urinarias frecuentes,Urólogo
Problemas menstruales,Ginecólogo
Problemas de fertilidad,Ginecólogo / Andrólogo
Acné o manchas,Dermatólogo
Alergias cutáneas,Dermatólogo / Alergólogo
Caída de cabello,Dermatólogo
Mareos o vértigo,Neurólogo
Adormecimiento o debilidad en extremidades,Neurólogo
Convulsiones,Neurólogo / Epileptólogo
Dolor en los ojos o problemas de visión,Oftalmólogo
Dolor de oídos o pérdida de audición,Otorrinolaringólogo
Cualquier problema de salud infantil,Pediatra
Problemas de desarrollo,Pediatra / Psicólogo infantil
Bultos o masas anormales,Oncólogo
Pérdida de peso inexplicable,Médico general / Oncólogo
Cansancio extremo persistente,Hematólogo / Oncólogo
Problemas de tiroides,Endocrinólogo
Diabetes,Endocrinólogo
Problemas hormonales,Endocrinólogo
Enfermedades autoinmunes,Reumatólogo / Inmunólogo
Infecciones recurrentes,Inmunólogo
Disfunción eréctil,Urólogo / Andrólogo
Problemas de libido,Endocrinólogo / Psicólogo
Anorexia,Nutriólogo / Psicólogo
Bulimia,Nutriólogo / Psicólogo
Apnea del sueño,Neumólogo / Especialista en sueño
Insomnio,Psicólogo / Neurólogo
Hipertensión,Cardiólogo
Colesterol alto,Cardiólogo / Nutriólogo
Hepatitis,Hepatólogo
Cirrosis,Hepatólogo
Insuficiencia renal,Nefrólogo
Cálculos renales,Urólogo
Fiebre alta,Médico general
Erupciones cutáneas,Dermatólogo
Problemas de visión,Oftalmólogo
Problemas auditivos,Otorrinolaringólogo
Problemas de memoria,Neurólogo
Problemas de concentración,Psicólogo
Problemas de aprendizaje,Psicólogo infantil
Problemas de comportamiento,Psicólogo
Problemas de lenguaje,Fonoaudiólogo
Problemas de equilibrio,Neurólogo
Problemas de coordinación,Neurólogo
Problemas de crecimiento,Endocrinólogo
Problemas de desarrollo motor,Fisioterapeuta
Problemas de alimentación,Nutriólogo
Problemas de digestión,Gastroenterólogo
Problemas de circulación,Cardiólogo
Problemas de respiración,Neumólogo
Problemas de sueño en niños,Pediatra
Problemas de sueño en adultos,Neurólogo / Psicólogo
Problemas de comportamiento en niños,Psicólogo infantil
Problemas de comportamiento en adolescentes,Psicólogo
Problemas de comportamiento en adultos,Psicólogo
Problemas de comportamiento en ancianos,Geriatra
Problemas de movilidad,Fisioterapeuta
Problemas de equilibrio en ancianos,Geriatra
Problemas de memoria en ancianos,Geriatra
Problemas de visión en ancianos,Oftalmólogo
Problemas auditivos en ancianos,Otorrinolaringólogo
Problemas de sueño en ancianos,Geriatra
Problemas de alimentación en ancianos,Nutriólogo
Problemas de digestión en ancianos,Gastroenterólogo
Problemas de circulación en ancianos,Cardiólogo
Problemas de respiración en ancianos,Neumólogo
Problemas de comportamiento en ancianos,Geriatra
Problemas de movilidad en ancianos,Fisioterapeuta
Problemas de equilibrio en ancianos,Geriatra
Problemas de memoria en ancianos,Geriatra
Problemas de visión en ancianos,Oftalmólogo
Problemas auditivos en ancianos,Otorrinolaringólogo
Problemas de sueño en ancianos,Geriatra
Problemas de alimentación en ancianos,Nutriólogo
Problemas de digestión en ancianos,Gastroenterólogo
Problemas de circulación en ancianos,Cardiólogo
Problemas de respiración en ancianos,Neumólogo
Problemas de comportamiento en ancianos,Geriatra
Problemas de movilidad en ancianos,Fisioterapeuta
Problemas de equilibrio en ancianos,Geriatra
Problemas de memoria en ancianos,Geriatra
Problemas de visión en ancianos,Oftalmólogo
Problemas auditivos en ancianos,Otorrinolaringólogo
Problemas de sueño en ancianos,Geriatra
Problemas de alimentación en ancianos,Nutriólogo
Problemas de digestión en ancianos,Gastroenterólogo
Problemas de circulación en ancianos,Cardiólogo
Problemas de respiración en ancianos,Neumólogo
Problemas de comportamiento en ancianos,Geriatra
Dolor de dientes,Odontólogo
Muela picada,Odontólogo
Dolor de cabeza,Neurólogo
Dolor de espalda,Traumatólogo / Fisioterapeuta
Dolor muscular o articular,Reumatólogo / Fisioterapeuta
Fracturas o lesiones,Ortopedista / Traumatólogo
Lesión deportiva,Médico del deporte / Fisioterapeuta
Dolor de estómago,Gastroenterólogo
Acidez o reflujo,Gastroenterólogo
Problemas de evacuación (diarrea/estreñimiento),Gastroenterólogo
Hemorroides,Proctólogo
Tos persistente o dificultad para respirar,Neumólogo
Alergias,Alergólogo
Infecciones respiratorias,Médico general / Neumólogo
Dolor en el pecho,Cardiólogo
Palpitaciones,Cardiólogo
Hinchazón de piernas o fatiga extrema,Cardiólogo
Ansiedad o estrés,Psicólogo / Psiquiatra
Depresión,Psicólogo / Psiquiatra
Problemas de sueño,Neurólogo / Psicólogo
Dolor de dientes o muelas,Odontólogo
Problemas en la mandíbula,Cirujano maxilofacial
Sangrado de encías,Periodoncista
Dolor al orinar,Urólogo / Ginecólogo
Infecciones urinarias frecuentes,Urólogo
Problemas menstruales,Ginecólogo
Problemas de fertilidad,Ginecólogo / Andrólogo
Acné o manchas,Dermatólogo
Alergias cutáneas,Dermatólogo / Alergólogo
Caída de cabello,Dermatólogo
Mareos o vértigo,Neurólogo
Adormecimiento o debilidad en extremidades,Neurólogo
Convulsiones,Neurólogo / Epileptólogo
Dolor en los ojos o problemas de visión,Oftalmólogo
Dolor de oídos o pérdida de audición,Otorrinolaringólogo
Cualquier problema de salud infantil,Pediatra
Problemas de desarrollo,Pediatra / Psicólogo infantil
Bultos o masas anormales,Oncólogo
Pérdida de peso inexplicable,Médico general / Oncólogo
Cansancio extremo persistente,Hematólogo / Oncólogo
Problemas de tiroides,Endocrinólogo
Diabetes,Endocrinólogo
Problemas hormonales,Endocrinólogo
Enfermedades autoinmunes,Reumatólogo / Inmunólogo
Infecciones recurrentes,Inmunólogo
Disfunción eréctil,Urólogo / Andrólogo
Problemas de libido,Endocrinólogo / Psicólogo
Anorexia,Nutriólogo / Psicólogo
Bulimia,Nutriólogo / Psicólogo
Apnea del sueño,Neumólogo / Especialista en sueño
Insomnio,Psicólogo / Neurólogo
Hipertensión,Cardiólogo
Colesterol alto,Cardiólogo / Nutriólogo
Hepatitis,Hepatólogo
Cirrosis,Hepatólogo
Insuficiencia renal,Nefrólogo
Cálculos renales,Urólogo
Fiebre alta,Médico general
Erupciones cutáneas,Dermatólogo
Problemas de visión,Oftalmólogo
Problemas auditivos,Otorrinolaringólogo
Problemas de memoria,Neurólogo
Problemas de concentración,Psicólogo
Problemas de aprendizaje,Psicólogo infantil
Problemas de comportamiento,Psicólogo
Problemas de lenguaje,Fonoaudiólogo
Problemas de equilibrio,Neurólogo
Problemas de coordinación,Neurólogo
Problemas de crecimiento,Endocrinólogo
Problemas de desarrollo motor,Fisioterapeuta
Problemas de alimentación,Nutriólogo
Problemas de digestión,Gastroenterólogo
Problemas de circulación,Cardiólogo
Problemas de respiración,Neumólogo
Problemas de sueño en niños,Pediatra
Problemas de sueño en adultos,Neurólogo / Psicólogo
Problemas de comportamiento en niños,Psicólogo infantil
Problemas de comportamiento en adolescentes,Psicólogo
Problemas de comportamiento en adultos,Psicólogo
Problemas de comportamiento en ancianos,Geriatra
Problemas de movilidad,Fisioterapeuta
Problemas de equilibrio en ancianos,Geriatra
Problemas de memoria en ancianos,Geriatra
Problemas de visión en ancianos,Oftalmólogo
Problemas auditivos en ancianos,Otorrinolaringólogo
Problemas de sueño en ancianos,Geriatra
Problemas de alimentación en ancianos,Nutriólogo
Problemas de digestión en ancianos,Gastroenterólogo
Problemas de circulación en ancianos,Cardiólogo
Problemas de respiración en ancianos,Neumólogo
Problemas de comportamiento en ancianos,Geriatra
Problemas de movilidad en ancianos,Fisioterapeuta
Problemas de equilibrio en ancianos,Geriatra
Problemas de memoria en ancianos,Geriatra
Problemas de visión en ancianos,Oftalmólogo
Problemas auditivos en ancianos,Otorrinolaringólogo
Problemas de sueño en ancianos,Geriatra
Problemas de alimentación en ancianos,Nutriólogo
Problemas de digestión en ancianos,Gastroenterólogo
Problemas de circulación en ancianos,Cardiólogo
Problemas de respiración en ancianos,Neumólogo
Problemas de comportamiento en ancianos,Geriatra
Problemas de movilidad en ancianos,Fisioterapeuta
Problemas de equilibrio en ancianos,Geriatra
Problemas de memoria en ancianos,Geriatra
